data,hora,taxa
2023/11/06,22:00:41,12.519841272728796
2023/11/06,22:00:44,11.711091943389107
2023/11/06,22:00:46,11.771289905503231
2023/11/06,22:00:49,12.326554706334974
2023/11/06,22:00:52,12.35334186362942
2023/11/06,22:00:55,12.529924438038123
2023/11/06,22:00:58,11.699100906018895
2023/11/06,22:01:01,11.86080936919954
2023/11/06,22:01:04,11.693192164786211
2023/11/06,22:01:06,11.833634197405384
2023/11/06,22:15:35,12.234100358968167
2023/11/06,22:15:37,11.991486786762842
2023/11/06,22:15:40,12.108505978799277
2023/11/06,22:15:43,12.238252708765703
2023/11/06,22:15:46,12.509699625123888
2023/11/06,22:15:49,12.330546293530368
2023/11/06,22:15:52,12.407847689124534
2023/11/06,22:15:55,12.03996516360748
2023/11/06,22:15:57,11.718894618844699
2023/11/06,22:16:00,12.385637931804656
